payment_id,invoice_id,payment_date,payment_method,amount_paid,bank_ref,paid_by
PAY00724,INV00904,2024-10-17,transfer,594082.89,REF6179878,EMP024
PAY00725,INV00905,2025-02-15,transfer,1490853.86,REF1397133,EMP012
PAY00726,INV00906,2024-08-11,virtual_account,32723.33,REF2904455,EMP022
PAY00727,INV00907,2025-10-11,giro,20184.21,REF3988644,EMP012
PAY00728,INV00909,2024-09-27,virtual_account,146096.17,REF7468084,EMP040
PAY00729,INV00910,2024-03-30,virtual_account,19393.24,REF1526320,EMP026
PAY00730,INV00911,2024-12-30,virtual_account,3986.25,REF9731903,EMP016
PAY00731,INV00915,2024-07-18,virtual_account,72569.18,REF2991122,EMP038
PAY00732,INV00916,2026-03-09,giro,41681.95,REF1076007,EMP018
PAY00733,INV00917,2024-09-16,transfer,55582.49,REF6484940,EMP001
PAY00734,INV00920,2024-10-12,transfer,1416958.74,REF4277885,EMP005
PAY00735,INV00921,2025-10-20,virtual_account,1092908.49,REF5937075,EMP006
PAY00736,INV00922,2025-02-10,virtual_account,236587.91,REF3483526,EMP010
PAY00737,INV00925,2025-05-16,virtual_account,900640.19,REF8478726,EMP012
PAY00738,INV00927,2024-10-18,transfer,4794.22,REF7001339,EMP028
PAY00739,INV00928,2025-02-07,giro,2584.30,REF4951972,EMP037
PAY00740,INV00929,2025-12-02,transfer,14728.28,REF8492424,EMP018
PAY00741,INV00930,2024-07-03,giro,18517.93,REF8517036,EMP021
PAY00742,INV00931,2025-03-11,transfer,1221744.49,REF2072596,EMP038
PAY00743,INV00932,2024-08-15,virtual_account,815793.10,REF7938354,EMP018
PAY00744,INV00933,2025-02-11,transfer,576780.74,REF4761671,EMP036
PAY00745,INV00934,2024-04-03,giro,1140937.10,REF6829211,EMP015
PAY00746,INV00935,2025-02-18,virtual_account,607835.21,REF5516273,EMP004
PAY00747,INV00936,2024-06-23,transfer,259937.52,REF8429149,EMP038
PAY00748,INV00937,2025-06-15,transfer,1964640.43,REF9786532,EMP012
PAY00749,INV00939,2025-10-10,transfer,60114.36,REF4037504,EMP004
PAY00750,INV00940,2024-12-27,transfer,84154.79,REF9295063,EMP032
